Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,3.600000,3.700000,3.540000,3.660000,3.660000,4457400
2023-02-28,3.680000,3.710000,3.600000,3.700000,3.700000,5083700
2023-03-01,3.700000,3.770000,3.670000,3.720000,3.720000,4872000
2023-03-02,3.690000,3.690000,3.600000,3.630000,3.630000,4211800
2023-03-03,3.610000,3.760000,3.560000,3.740000,3.740000,6926500
2023-03-06,3.720000,3.730000,3.540000,3.550000,3.550000,7270300
2023-03-07,3.530000,3.550000,3.320000,3.340000,3.340000,9800600
2023-03-08,3.380000,3.390000,3.290000,3.370000,3.370000,7654500
2023-03-09,3.360000,3.410000,3.290000,3.330000,3.330000,9423400
2023-03-10,3.330000,3.380000,3.210000,3.210000,3.210000,9911500
2023-03-13,3.170000,3.440000,3.130000,3.380000,3.380000,10570800
2023-03-14,3.400000,3.460000,3.280000,3.300000,3.300000,6888600
2023-03-15,3.220000,3.260000,3.090000,3.210000,3.210000,8823600
2023-03-16,3.230000,3.280000,3.160000,3.220000,3.220000,7024200
2023-03-17,3.200000,3.370000,3.110000,3.290000,3.290000,21111600
2023-03-20,3.300000,3.350000,3.240000,3.250000,3.250000,5072200
2023-03-21,3.280000,3.370000,3.250000,3.330000,3.330000,4272300
2023-03-22,3.320000,3.390000,3.160000,3.190000,3.190000,5531900
2023-03-23,3.060000,3.140000,2.700000,2.720000,2.720000,37125900
2023-03-24,2.510000,2.760000,2.360000,2.730000,2.730000,22785200
2023-03-27,2.780000,2.840000,2.720000,2.820000,2.820000,6979000
2023-03-28,2.800000,2.870000,2.750000,2.840000,2.840000,7153400
2023-03-29,2.880000,3.000000,2.840000,2.880000,2.880000,7180500
2023-03-30,2.940000,3.010000,2.860000,2.900000,2.900000,7297300
2023-03-31,2.960000,2.970000,2.860000,2.880000,2.880000,4631100
2023-04-03,2.940000,2.990000,2.880000,2.980000,2.980000,4895900
2023-04-04,2.980000,3.000000,2.770000,2.840000,2.840000,6181200
2023-04-05,2.790000,2.820000,2.660000,2.700000,2.700000,4977600
2023-04-06,2.700000,2.720000,2.620000,2.690000,2.690000,4818500
2023-04-10,2.700000,2.790000,2.670000,2.770000,2.770000,3456000
2023-04-11,2.780000,2.870000,2.770000,2.870000,2.870000,4013400
2023-04-12,2.860000,2.880000,2.740000,2.810000,2.810000,5110300
2023-04-13,2.830000,2.950000,2.800000,2.910000,2.910000,4759100
2023-04-14,2.930000,2.950000,2.800000,2.840000,2.840000,3374800
2023-04-17,2.870000,2.880000,2.790000,2.860000,2.860000,3915500
2023-04-18,2.860000,2.890000,2.750000,2.810000,2.810000,4096500
2023-04-19,2.750000,2.780000,2.720000,2.730000,2.730000,3315200
2023-04-20,2.700000,2.730000,2.670000,2.700000,2.700000,2825600
2023-04-21,2.660000,2.680000,2.560000,2.610000,2.610000,5759200
2023-04-24,2.580000,2.620000,2.520000,2.530000,2.530000,5627900
2023-04-25,2.500000,2.530000,2.420000,2.460000,2.460000,6596400
2023-04-26,2.490000,2.650000,2.480000,2.520000,2.520000,4399500
2023-04-27,2.550000,2.630000,2.530000,2.580000,2.580000,3799500
2023-04-28,2.590000,2.620000,2.550000,2.610000,2.610000,6547400
2023-05-01,2.590000,2.620000,2.460000,2.470000,2.470000,3873400
2023-05-02,2.440000,2.470000,2.300000,2.370000,2.370000,6921900
2023-05-03,2.370000,2.540000,2.340000,2.450000,2.450000,4392900
2023-05-04,2.440000,2.540000,2.440000,2.510000,2.510000,4175400
2023-05-05,2.510000,2.700000,2.510000,2.680000,2.680000,4575200
2023-05-08,2.700000,2.730000,2.630000,2.640000,2.640000,3343700
2023-05-09,2.620000,2.770000,2.610000,2.760000,2.760000,4193100
2023-05-10,2.830000,2.880000,2.690000,2.760000,2.760000,3835300
2023-05-11,2.760000,2.840000,2.590000,2.620000,2.620000,5350200
2023-05-12,2.620000,2.700000,2.600000,2.650000,2.650000,2629000
2023-05-15,2.650000,2.690000,2.630000,2.650000,2.650000,1791500
2023-05-16,2.610000,2.630000,2.480000,2.500000,2.500000,3532300
2023-05-17,2.520000,2.590000,2.460000,2.590000,2.590000,2916200
2023-05-18,2.560000,2.560000,2.480000,2.510000,2.510000,2930700
2023-05-19,2.570000,2.620000,2.520000,2.530000,2.530000,2651900
2023-05-22,2.550000,2.800000,2.550000,2.730000,2.730000,4271600
2023-05-23,2.730000,2.790000,2.690000,2.790000,2.790000,3238700
2023-05-24,2.740000,2.780000,2.640000,2.690000,2.690000,3776600
2023-05-25,2.660000,2.700000,2.620000,2.640000,2.640000,3612000
2023-05-26,2.640000,2.650000,2.550000,2.570000,2.570000,3095900
2023-05-30,2.560000,2.590000,2.480000,2.490000,2.490000,2796700
2023-05-31,2.480000,2.620000,2.450000,2.590000,2.590000,3965100
